Importing module 'gym_38' (/home/ubuntu/jrWork/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_38.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/ubuntu/jrWork/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 2.0.1
Device count 1
/home/ubuntu/jrWork/isaacgym/python/isaacgym/_bindings/src/gymtorch
ninja: no work to do.
[Warning] [carb.gym.plugin] useGpu is set, forcing single scene (0 subscenes)
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:0
GPU Pipeline: enabled
Setting seed: 2300
Loading low-level model from logs/low/2025-06-22-15-47-03/nn/model_10000.pth
[Target] R=5.46, theta=-0.49 rad, target=(4.82, -2.56)
[RewardDebug] dist=5.026, robot_speed=0.464, robot_align=0.995, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.564, robot_align=0.986, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.691, robot_align=0.986, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.805, robot_align=0.994, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.515, robot_align=0.909, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.373, robot_align=0.952, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.386, robot_align=0.887, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.192, robot_align=0.997, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.265, robot_align=0.664, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.245, robot_align=0.418, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.171, robot_align=0.332, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.202, robot_align=0.366, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.253, robot_align=0.268, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.307, robot_align=0.237, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.325, robot_align=0.241, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.372, robot_align=0.204, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.388, robot_align=0.193, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.379, robot_align=0.185, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.415, robot_align=0.136, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
[RewardDebug] dist=5.026, robot_speed=0.502, robot_align=0.097, ball_speed=0.000, ball_align=0.000, r_robot=0.000, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=-0.010
